Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role,Location,Coordinates
UX Design Intern,"Wireframing, Usability Testing",3 Months,Semester,UX Studio,1400,Hybrid,01-09-2025,"As a UX Design Intern, you will gain hands-on experience in Wireframing, Usability Testing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",User Experience,"Agartala, Tripura, India","23.8312377,91.2823821"
Virtual Archaeology Intern,"Digital Excavations, Artifact Modeling",2 Months,Summer,VirtualDig,12500,Part Time,01-09-2025,"As a Virtual Archaeology Intern, you will gain hands-on experience in Digital Excavations, Artifact Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Virtual Archaeology,"Kochi, Kerala, India","9.9679032,76.2444378"
Exosuit Engineering Intern,"Robotic Exoskeletons, Mobility Testing",4 Months,Summer,ExoTech,1100,Part Time,02-09-2025,"As an Exosuit Engineering Intern, you will gain hands-on experience in Robotic Exoskeletons, Mobility Testing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Exosuit Technology,"Thrissur, Kerala, India","10.5270099,76.214621"
Eco-Microbiology Intern,"Microbial Ecology, Soil Health",2 Months,Summer,MicroEco,15500,Part Time,05-09-2025,"As an Eco-Microbiology Intern, you will gain hands-on experience in Microbial Ecology, Soil Health. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Eco-Microbiology,"Bardhaman, West Bengal, India","23.2495714,87.8681751"
Market Research Intern,"Consumer Surveys, Competitor Analysis",3 Months,Research,MarketScope,15000,Hybrid,06-09-2025,"As a Market Research Intern, you will gain hands-on experience in Consumer Surveys, Competitor Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Market Research,"Meerut, Uttar Pradesh, India","28.9963296,77.7061915"
Graphic Design Intern,"Animation, Graphic Design, Photography",2 Months,Research,Quantum Quasar,"18,000",Part Time,07-09-2025,"As a Graphic Design Intern, you will gain hands-on experience in Animation, Graphic Design, Photography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Graphic Design,"Dhanbad, Jharkhand, India","23.7952809,86.4309638"
Law Enforcement Intern,"Corporate Law, Legal Research, IP Law",6 Months,Summer,Fossil & Forge,"10,000",Hybrid,07-09-2025,"As a Law Enforcement Intern, you will gain hands-on experience in Corporate Law, Legal Research, IP Law. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Law Enforcement,"Jammu, Jammu and Kashmir, India","32.7185614,74.8580917"
CleanTech Intern,"Sustainable Development, Renewable Energy, Environmental Engineering, Carbon Footprint Analysis",2 Months,Converting,LexiCorp,"10,000",Part Time,07-09-2025,"As a CleanTech Intern, you will gain hands-on experience in Sustainable Development, Renewable Energy, Environmental Engineering, Carbon Footprint Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",CleanTech,"Muzaffarpur, Bihar, India","26.1182898,85.3857888"
Chemistry Research Intern,"Organic Synthesis, Analytical Chemistry, Spectroscopy, Laboratory Techniques",3 Months,Research,Cosmos Collective,"18,000",Hybrid,07-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Organic Synthesis, Analytical Chemistry, Spectroscopy, Laboratory Techniques. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research,"Rourkela, Odisha, India","22.2309255,84.8678705"
Linguistics Intern,"Pedagogy, STEM Education, Digital Content",2 Months,Summer,TechNova,"20,000",Hybrid,08-09-2025,"As a Linguistics Intern, you will gain hands-on experience in Pedagogy, STEM Education, Digital Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Linguistics,"Aligarh, Uttar Pradesh, India","27.8815412,78.0690216"
Marketing Intern,"Content Strategy, Market Research, SEO",3 Months,Summer,Stardust Services,"20,000",Part Time,08-09-2025,"As a Marketing Intern, you will gain hands-on experience in Content Strategy, Market Research, SEO. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Marketing,"Bengaluru, Karnataka, India","12.9767936,77.590082"
Eco-Sound Design Intern,"Sustainable Audio, Eco-Friendly Studios",3 Months,Long Term,SoundEco,1150,Hybrid,08-09-2025,"As an Eco-Sound Design Intern, you will gain hands-on experience in Sustainable Audio, Eco-Friendly Studios. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Eco-Sound Design,"Dewas, Madhya Pradesh, India","22.96363,76.054867"
Esports Intern,"Project Planning, Communication, Teamwork",4 Months,Summer,Arion Analytics,"15,000",Hybrid,08-09-2025,"As a Esports Intern, you will gain hands-on experience in Project Planning, Communication, Teamwork. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports,"Guwahati, Assam, India","26.1805978,91.753943"
PropTech Intern,"DeFi, Consensus Mechanisms, NFTs",2 Months,Summer,SphereGoo,"8,000",Hybrid,08-09-2025,"As a PropTech Intern, you will gain hands-on experience in DeFi, Consensus Mechanisms, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",PropTech,"Jammu, Jammu and Kashmir, India","32.7185614,74.8580917"
Sound Engineering Intern,"Video Editing, Photography, Storyboarding",6 Months,Long Term,Ishtar Innovations,"18,000",Part Time,08-09-2025,"As a Sound Engineering Intern, you will gain hands-on experience in Video Editing, Photography, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sound Engineering,"Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
Culinary Intern,"Menu Planning, Food Preparation, Catering, Kitchen Management, Sanitation",4 Months,Long Term,EcoLabs,"20,000",Part Time,08-09-2025,"As a Culinary Intern, you will gain hands-on experience in Menu Planning, Food Preparation, Catering, Kitchen Management, Sanitation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Culinary,"Kalyan, Maharashtra, India","19.2396742,73.1366482"
Education Intern,"STEM Education, Instructional Design, Pedagogy",2 Months,Converting,Equinox Enterprises,"10,000",Hybrid,08-09-2025,"As a Education Intern, you will gain hands-on experience in STEM Education, Instructional Design, Pedagogy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Education,"Kochi, Kerala, India","9.9679032,76.2444378"
Forensic Science Intern,"Evidence Collection, Trace Evidence Analysis, Questioned Documents",3 Months,Long Term,Maelstrom Media,"10,000",Part Time,08-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Evidence Collection, Trace Evidence Analysis, Questioned Documents. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science,"Tiruchirappalli, Tamil Nadu, India","10.8071144,78.6880939"
History Intern,"Archaeology, Modern History, Ancient History",6 Months,Summer,KathaBook,"12,000",Hybrid,08-09-2025,"As a History Intern, you will gain hands-on experience in Archaeology, Modern History, Ancient History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",History,"Tirunelveli, Tamil Nadu, India","8.7284271,77.7112925"
Project Management Intern,"Hadoop, Spark, Predictive Modeling",2 Months,Long Term,Janus Corp,"12,000",Part Time,08-09-2025,"As a Project Management Intern, you will gain hands-on experience in Hadoop, Spark, Predictive Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Project Management,"Ujjain, Madhya Pradesh, India","23.1885131,75.7716562"
Library Intern,"Pedagogy, STEM Education, Digital Content",4 Months,Summer,HushPlace,"18,000",Part Time,09-09-2025,"As a Library Intern, you will gain hands-on experience in Pedagogy, STEM Education, Digital Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Library,"Agra, Uttar Pradesh, India","27.1752554,78.0098161"
Legal Intern,"IP Law, Corporate Law, Contract Drafting",3 Months,Research,Lawsfarm,"6,000",Part Time,09-09-2025,"As a Legal Intern, you will gain hands-on experience in IP Law, Corporate Law, Contract Drafting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Legal,"Aizawl, Mizoram, India","23.7433532,92.7382756"
Library Intern,"E-learning, STEM Education, Digital Content",2 Months,Converting,Epoch Solutions,"6,000",Hybrid,09-09-2025,"As a Library Intern, you will gain hands-on experience in E-learning, STEM Education, Digital Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Library,"Berhampur, Odisha, India","21.5340187,86.6538825"
Fashion Styling Intern,"Lookbook Creation, Trend Forecasting",2 Months,Summer,StyleVibe,9000,Part Time,09-09-2025,"As a Fashion Styling Intern, you will gain hands-on experience in Lookbook Creation, Trend Forecasting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Fashion Styling,"Bilaspur, Chhattisgarh, India","22.0785627,82.1476475"
Tourism Intern,"Event Management, Performing Arts, Curation",2 Months,Research,The Saffron Scroll,"10,000",Part Time,09-09-2025,"As a Tourism Intern, you will gain hands-on experience in Event Management, Performing Arts, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism,"Bilaspur, Chhattisgarh, India","22.0785627,82.1476475"
Event Management Intern,"Event Management, Performing Arts, Curation",6 Months,Research,Pegasus Productions,"12,000",Hybrid,09-09-2025,"As a Event Management Intern, you will gain hands-on experience in Event Management, Performing Arts, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management,"Dhanbad, Jharkhand, India","23.7952809,86.4309638"
Data Visualization Intern,"Generative AI, Deep Learning, Computer Vision",6 Months,Research,DataC,"20,000",Hybrid,09-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in Generative AI, Deep Learning, Computer Vision. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization,"Haldwani, Uttarakhand, India","29.2144809,79.5279012"
Economics Intern,"Investment Analysis, Stock Research, Portfolio Management",4 Months,Converting,TechNova,"12,000",Hybrid,09-09-2025,"As a Economics Intern, you will gain hands-on experience in Investment Analysis, Stock Research, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics,"Imphal, Manipur, India","24.7991162,93.9364419"
Business Analyst Intern,"Big Data, Hadoop, Pandas",3 Months,Long Term,Thinkers,"10,000",Hybrid,09-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Big Data, Hadoop, Pandas. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst,"Itanagar, Arunachal Pradesh, India","27.0979659,93.6237291"
Tourism Intern,"Curation, Performing Arts, Art History",3 Months,Research,Palladium Partners,"18,000",Part Time,09-09-2025,"As a Tourism Intern, you will gain hands-on experience in Curation, Performing Arts, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism,"Itanagar, Arunachal Pradesh, India","27.0979659,93.6237291"
Linguistics Intern,"STEM Education, Digital Content, E-learning",6 Months,Long Term,Equinox Enterprises,"20,000",Hybrid,09-09-2025,"As a Linguistics Intern, you will gain hands-on experience in STEM Education, Digital Content, E-learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Linguistics,"Jodhpur, Rajasthan, India","26.2967719,73.0351433"
Eco-Audio Intern,"Environmental Soundscapes, Acoustic Ecology",4 Months,Summer,EcoSound,9500,Part Time,09-09-2025,"As an Eco-Audio Intern, you will gain hands-on experience in Environmental Soundscapes, Acoustic Ecology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Eco-Audio,"Kulti, West Bengal, India","23.7302149,86.8396711"
Game Development Intern,"Video Editing, Animation, Photography",2 Months,Research,TechNova,"8,000",Hybrid,09-09-2025,"As a Game Development Intern, you will gain hands-on experience in Video Editing, Animation, Photography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Development,"Muzaffarpur, Bihar, India","26.1182898,85.3857888"
Economics Intern,"Valuation, Financial Modeling, Portfolio Management",2 Months,Converting,OpenAI Labs,"18,000",Part Time,09-09-2025,"As a Economics Intern, you will gain hands-on experience in Valuation, Financial Modeling, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics,"Nagpur, Maharashtra, India","21.1498134,79.0820556"
AR/VR Intern,"virtual reality, augmented reality, spatial computing, mixed reality",4 Months,Converting,Chimera Collective,"15,000",Hybrid,09-09-2025,"As a AR/VR Intern, you will gain hands-on experience in virtual reality, augmented reality, spatial computing, mixed reality. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AR/VR,"Nashik, Maharashtra, India","20.0112475,73.7902364"
Cloud Engineering Intern,"Google Cloud, Azure, AWS",3 Months,Summer,Hydra Holdings,"10,000",Part Time,09-09-2025,"As a Cloud Engineering Intern, you will gain hands-on experience in Google Cloud, Azure, AWS. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Engineering,"Patna, Bihar, India","25.6093239,85.1235252"
Chemistry Research Intern,"Biochemistry, Molecular Biology, Drug Discovery, Medicinal Chemistry",3 Months,Converting,Agon Systems,"6,000",Part Time,09-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Biochemistry, Molecular Biology, Drug Discovery, Medicinal Chemistry. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research,"Rajkot, Gujarat, India","22.3053263,70.8028377"
Sociology Intern,"Surveys, Cultural Studies, Social Behavior",6 Months,Long Term,PeopleMuch,"18,000",Hybrid,09-09-2025,"As a Sociology Intern, you will gain hands-on experience in Surveys, Cultural Studies, Social Behavior. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sociology,"Salem, Tamil Nadu, India","11.6551982,78.1581771"
Chemistry Research Intern,"Physical Chemistry, Thermodynamics, Quantum Chemistry, Materials Science",3 Months,Summer,Orion's Forge,"18,000",Part Time,09-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Physical Chemistry, Thermodynamics, Quantum Chemistry, Materials Science. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research,"Siliguri, West Bengal, India","26.7164127,88.4309916"
Sociology Intern,"Surveys, Field Research, Urban Studies",3 Months,Converting,PeopleMuch,"10,000",Hybrid,09-09-2025,"As a Sociology Intern, you will gain hands-on experience in Surveys, Field Research, Urban Studies. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sociology,"Thrissur, Kerala, India","10.5270099,76.214621"
Forensic Science Intern,"Crime Scene Investigation, DNA Analysis, Ballistics, Fingerprinting",2 Months,Summer,Terra Transmissions,"18,000",Part Time,09-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Crime Scene Investigation, DNA Analysis, Ballistics, Fingerprinting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science,"Tiruvottiyur, Tamil Nadu, India","13.1563873,80.3005279"
Blockchain Intern,"DeFi, Ethereum, NFTs",4 Months,Converting,LexiCorp,"6,000",Part Time,09-09-2025,"As a Blockchain Intern, you will gain hands-on experience in DeFi, Ethereum, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Blockchain,"Udaipur, Rajasthan, India","24.578721,73.6862571"
Supply Chain Intern,"Demand Forecasting, Procurement, Supplier Management",2 Months,Research,UrbanWorks,"6,000",Hybrid,10-09-2025,"As a Supply Chain Intern, you will gain hands-on experience in Demand Forecasting, Procurement, Supplier Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Supply Chain,"Allahabad, Uttar Pradesh, India","25.448429,81.832198"
Cloud Security Intern,"Cloud Security, Incident Response, Cryptography",6 Months,Long Term,EcoLabs,"20,000",Hybrid,10-09-2025,"As a Cloud Security Intern, you will gain hands-on experience in Cloud Security, Incident Response, Cryptography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Security,"Berhampur, Odisha, India","21.5340187,86.6538825"
Environmental Science Intern,"Teamwork, Project Planning, Problem Solving",3 Months,Converting,mcroloft env,"20,000",Part Time,10-09-2025,"As a Environmental Science Intern, you will gain hands-on experience in Teamwork, Project Planning, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science,"Chandigarh, Chandigarh, India","30.7334421,76.7797143"
Tourism Intern,"Performing Arts, Curation, Art History",2 Months,Converting,Eclipse Enterprises,"8,000",Hybrid,10-09-2025,"As a Tourism Intern, you will gain hands-on experience in Performing Arts, Curation, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism,"Dhanbad, Jharkhand, India","23.7952809,86.4309638"
Tourism Intern,"Creative Writing, Art History, Curation",4 Months,Summer,Trident Trading,"12,000",Hybrid,10-09-2025,"As a Tourism Intern, you will gain hands-on experience in Creative Writing, Art History, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism,"Guwahati, Assam, India","26.1805978,91.753943"
AI Ethics Intern,"Deep Learning, Computer Vision, Transformers",6 Months,Long Term,Whisperwind Industries,"18,000",Part Time,10-09-2025,"As a AI Ethics Intern, you will gain hands-on experience in Deep Learning, Computer Vision, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Ethics,"Itanagar, Arunachal Pradesh, India","27.0979659,93.6237291"
Video Editing Intern,"Graphic Design, Photography, Storyboarding",3 Months,Long Term,digiGlow,"20,000",Hybrid,10-09-2025,"As a Video Editing Intern, you will gain hands-on experience in Graphic Design, Photography, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Video Editing,"Ludhiana, Punjab, India","30.9090157,75.851601"
International Relations Intern,"Surveys, Field Research, Social Behavior",3 Months,Long Term,Echo Chamber,"15,000",Part Time,10-09-2025,"As a International Relations Intern, you will gain hands-on experience in Surveys, Field Research, Social Behavior. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",International Relations,"Muzaffarpur, Bihar, India","26.1182898,85.3857888"
EdTech Intern,"E-learning, Digital Content, STEM Education",4 Months,Long Term,Comet Communications,"18,000",Part Time,10-09-2025,"As a EdTech Intern, you will gain hands-on experience in E-learning, Digital Content, STEM Education. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech,"Tirupati, Andhra Pradesh, India","13.6316368,79.4231711"
Anthropology Intern,"Field Research, Social Behavior, Surveys",6 Months,Summer,Tempest Collective,"20,000",Hybrid,10-09-2025,"As a Anthropology Intern, you will gain hands-on experience in Field Research, Social Behavior, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Anthropology,"Visakhapatnam, Andhra Pradesh, India","17.6935526,83.2921297"
Social Work Intern,"Field Research, Social Behavior, Urban Studies",3 Months,Converting,Proteus Productions,"18,000",Hybrid,11-09-2025,"As a Social Work Intern, you will gain hands-on experience in Field Research, Social Behavior, Urban Studies. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Social Work,"Amritsar, Punjab, India","31.6356659,74.8787496"
EdTech Intern,"Digital Content, Pedagogy, Instructional Design",2 Months,Long Term,Luminar Logic,"10,000",Part Time,11-09-2025,"As a EdTech Intern, you will gain hands-on experience in Digital Content, Pedagogy, Instructional Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech,"Gandhinagar, Gujarat, India","23.2232877,72.6492267"
Data Science Intern,"Generative AI, NLP, Computer Vision",6 Months,Summer,Pioneer Ventures,"18,000",Hybrid,11-09-2025,"As a Data Science Intern, you will gain hands-on experience in Generative AI, NLP, Computer Vision. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science,"Hisar, Haryana, India","29.1562688,75.7292303"
Public Relations Intern,"Content Strategy, Social Media, SEO",2 Months,Long Term,Apex Aerospace,"18,000",Hybrid,11-09-2025,"As a Public Relations Intern, you will gain hands-on experience in Content Strategy, Social Media, SEO. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Public Relations,"Jammu, Jammu and Kashmir, India","32.7185614,74.8580917"
Linguistics Intern,"STEM Education, Instructional Design, E-learning",4 Months,Long Term,Kismet Kollective,"6,000",Hybrid,11-09-2025,"As a Linguistics Intern, you will gain hands-on experience in STEM Education, Instructional Design, E-learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Linguistics,"Jodhpur, Rajasthan, India","26.2967719,73.0351433"
Business Analyst Intern,"Big Data, Python, Machine Learning",4 Months,Long Term,SecureX,"20,000",Part Time,11-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Big Data, Python, Machine Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst,"Mathura, Uttar Pradesh, India","27.4955539,77.6855554"
Supply Chain Intern,"Logistics, Inventory Management, Transportation Planning, Warehousing",6 Months,Research,Asteroid Group,"15,000",Hybrid,11-09-2025,"As a Supply Chain Intern, you will gain hands-on experience in Logistics, Inventory Management, Transportation Planning, Warehousing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Supply Chain,"Moradabad, Uttar Pradesh, India","28.8334982,78.7732864"
Psychology Intern,"Counseling, Behavioral Studies, Neuropsychology",3 Months,Converting,Midas Media,"6,000",Hybrid,11-09-2025,"As a Psychology Intern, you will gain hands-on experience in Counseling, Behavioral Studies, Neuropsychology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Psychology,"Moradabad, Uttar Pradesh, India","28.8334982,78.7732864"
Public Relations Intern,"Social Media, Brand Management, Content Strategy",3 Months,Summer,Blackhole Ventures,"15,000",Part Time,11-09-2025,"As a Public Relations Intern, you will gain hands-on experience in Social Media, Brand Management, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Public Relations,"Pondicherry, Puducherry, India","11.9340568,79.8306447"
SEO Intern,"Market Research, SEO, Content Strategy",2 Months,Converting,Nemesis Group,"6,000",Hybrid,11-09-2025,"As a SEO Intern, you will gain hands-on experience in Market Research, SEO, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",SEO,"Raipur, Chhattisgarh, India","21.2380912,81.6336993"
Architecture Intern,"Structural Analysis, Automation, Thermodynamics",3 Months,Research,The Sunken Spire,"12,000",Part Time,11-09-2025,"As a Architecture Intern, you will gain hands-on experience in Structural Analysis, Automation, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Architecture,"Rajahmundry, Andhra Pradesh, India","17.0050454,81.7804732"
Mechanical Engineering Intern,"Power Systems, Structural Analysis, Thermodynamics",4 Months,Long Term,Makeshift,"8,000",Hybrid,11-09-2025,"As a Mechanical Engineering Intern, you will gain hands-on experience in Power Systems, Structural Analysis, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Mechanical Engineering,"Rajkot, Gujarat, India","22.3053263,70.8028377"
Philosophy Intern,"Political Philosophy, Logic, Metaphysics",6 Months,Long Term,Verdant Veins,"10,000",Hybrid,11-09-2025,"As a Philosophy Intern, you will gain hands-on experience in Political Philosophy, Logic, Metaphysics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Philosophy,"Thane, Maharashtra, India","19.1943294,72.9701779"
Social Work Intern,"Urban Studies, Social Behavior, Surveys",6 Months,Long Term,Titan Technologies,"20,000",Part Time,11-09-2025,"As a Social Work Intern, you will gain hands-on experience in Urban Studies, Social Behavior, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Social Work,"Tirupati, Andhra Pradesh, India","13.6316368,79.4231711"
UI/UX Design Intern,"User Research, Wireframing, Usability Testing",4 Months,Research,Veridian Systems,"20,000",Hybrid,11-09-2025,"As a UI/UX Design Intern, you will gain hands-on experience in User Research, Wireframing, Usability Testing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",UI/UX Design,"Ujjain, Madhya Pradesh, India","23.1885131,75.7716562"
Digital Marketing Intern,"Content Strategy, Social Media, Market Research",3 Months,Summer,Wyvern Collective,"12,000",Part Time,12-09-2025,"As a Digital Marketing Intern, you will gain hands-on experience in Content Strategy, Social Media, Market Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing,"Agartala, Tripura, India","23.8312377,91.2823821"
