Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role
AI Ethics Intern,"Generative AI, Reinforcement Learning, Transformers",6 Months,Summer,EduNext,"₹15,000",Full-time,24-09-2025,"As a AI Ethics Intern, you will gain hands-on experience in Generative AI, Reinforcement Learning, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Ethics
AI Ethics Intern,"Deep Learning, Computer Vision, Transformers",6 Months,Long-term,EduNext,"₹18,000",Part-time,10-09-2025,"As a AI Ethics Intern, you will gain hands-on experience in Deep Learning, Computer Vision, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Ethics
AI Ethics Intern,"Computer Vision, Deep Learning, Transformers",2 Months,Research,TechNova,"₹8,000",Part-time,14-09-2025,"As a AI Ethics Intern, you will gain hands-on experience in Computer Vision, Deep Learning, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Ethics
AI Ethics Manager,"Neural Networks, Deep Learning, NLP",4 Months,Semester,TechNova,$800,Part Time,15-04-2026,"As a AI Ethics Intern 2, you will develop and test Neural Networks, Deep Learning and NLP using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Ethics Manager,"Computer Vision, Model Evaluation, Deep Learning",2 Months,Summer,DataNest,$1500,Full Time,02-05-2026,"As a AI Ethics Intern 2, you will develop and test Computer Vision, Model Evaluation and Deep Learning using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Ethics Manager,"Neural Networks, NLP, Computer Vision, Model Evaluation",3 Months,Summer,GreenWorld,$1200,Part Time,20-04-2026,"As a AI Ethics Intern 2, you will develop and test Neural Networks, NLP, Computer Vision and Model Evaluation using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Hardware Intern,"Neural Networks, Deep Learning, Model Evaluation",2 Months,Summer,GreenWorld,$1600,Full Time,18-10-2025,"As a AI Hardware Intern, you will develop and test Neural Networks, Deep Learning and Model Evaluation using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Hardware Intern,"NLP, Computer Vision, Model Evaluation",3 Months,Summer,BuildCon,$1300,Part Time,05-11-2025,"As a AI Hardware Intern, you will develop and test NLP, Computer Vision and Model Evaluation using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Hardware Intern,"Deep Learning, NLP, Computer Vision, Model Evaluation",6 Months,Long Term,PixelTech,$1700,Full Time,25-10-2025,"As a AI Hardware Intern, you will develop and test Deep Learning, NLP, Computer Vision and Model Evaluation using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Ops Intern,"Neural Networks, Deep Learning, NLP",6 Months,Long Term,TechNova,$1600,Full Time,10-10-2026,"As a AI Ops Intern, you will develop and test Neural Networks, Deep Learning and NLP using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Ops Intern,"Computer Vision, Model Evaluation, Deep Learning",4 Months,Semester,DataNest,$1100,Part Time,28-09-2026,"As a AI Ops Intern, you will develop and test Computer Vision, Model Evaluation and Deep Learning using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Ops Intern,"Neural Networks, NLP, Computer Vision",2 Months,Summer,GreenWorld,$1700,Full Time,15-10-2026,"As a AI Ops Intern, you will develop and test Neural Networks, NLP and Computer Vision using tools like TensorFlow or PyTorch, contributing to innovative AI solutions. You’ll analyze model performance, collaborate with data scientists, and present findings to stakeholders.",AI
AI Research Intern,"Transformers, Reinforcement Learning, Deep Learning",3 Months,Research,PixelTech,"₹8,000",Part-time,21-09-2025,"As a AI Research Intern, you will gain hands-on experience in Transformers, Reinforcement Learning, Deep Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Research
AI Research Intern,"Reinforcement Learning, NLP, Transformers",6 Months,Long-term,MindCare,"₹12,000",Full-time,06-10-2025,"As a AI Research Intern, you will gain hands-on experience in Reinforcement Learning, NLP, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Research
AI Research Intern,"Computer Vision, Transformers, NLP",3 Months,Converting,GreenWorld,"₹8,000",Part-time,21-09-2025,"As a AI Research Intern, you will gain hands-on experience in Computer Vision, Transformers, NLP. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Research
Animation Intern,"Storyboarding, Photography, Animation",2 Months,Research,TechNova,"₹12,000",Full-time,04-10-2025,"As a Animation Intern, you will gain hands-on experience in Storyboarding, Photography, Animation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Animation
Animation Intern,"Storyboarding, Animation, Video Editing",3 Months,Converting,PixelTech,"₹15,000",Full-time,19-09-2025,"As a Animation Intern, you will gain hands-on experience in Storyboarding, Animation, Video Editing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Animation
Animation Intern,"Photography, Graphic Design, Storyboarding",6 Months,Research,GreenWorld,"₹18,000",Full-time,13-09-2025,"As a Animation Intern, you will gain hands-on experience in Photography, Graphic Design, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Animation
Anthropology Intern,"Urban Studies, Social Behavior, Surveys",2 Months,Long-term,MindCare,"₹6,000",Full-time,16-09-2025,"As a Anthropology Intern, you will gain hands-on experience in Urban Studies, Social Behavior, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Anthropology
Anthropology Intern,"Social Behavior, Cultural Studies, Field Research",6 Months,Research,UrbanWorks,"₹6,000",Part-time,13-09-2025,"As a Anthropology Intern, you will gain hands-on experience in Social Behavior, Cultural Studies, Field Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Anthropology
Anthropology Intern,"Field Research, Social Behavior, Surveys",6 Months,Summer,MindCare,"₹20,000",Full-time,10-09-2025,"As a Anthropology Intern, you will gain hands-on experience in Field Research, Social Behavior, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Anthropology
Anthropology Intern,"Field Research, Cultural Studies, Surveys",6 Months,Summer,BioGen Labs,"₹6,000",Part-time,06-10-2025,"As a Anthropology Intern, you will gain hands-on experience in Field Research, Cultural Studies, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Anthropology
AR Game Design Intern,"Illustration, Photoshop, Brand Identity",3 Months,Summer,DataNest,$1100,Part Time,05-04-2026,"As a AR Game Design Intern, you will create Illustration, Photoshop and Brand Identity, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. You’ll work with design teams to refine brand aesthetics.",Design
AR Game Design Intern,"Typography, Layouts, Brand Identity",6 Months,Long Term,GreenWorld,$1700,Full Time,22-03-2026,"As a AR Game Design Intern, you will create Typography, Layouts and Brand Identity, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. You’ll work with design teams to refine brand aesthetics.",Design
AR Game Design Intern,"Illustration, Typography, Photoshop, Layouts",4 Months,Semester,BuildCon,$900,Part Time,12-04-2026,"As a AR Game Design Intern, you will create Illustration, Typography, Photoshop and Layouts, designing user-centric visuals or prototypes using Adobe Creative Suite or Figma. You’ll work with design teams to refine brand aesthetics.",Design
AR/VR Intern,"ar, vr, unity, 3d modeling, unreal engine",6 Months,Research,SecureX,"₹6,000",Part-time,04-10-2025,"As a AR/VR Intern, you will gain hands-on experience in ar, vr, unity, 3d modeling, unreal engine. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AR/VR
AR/VR Intern,"augmented reality, virtual reality, oculus, haptic feedback, motion tracking",6 Months,Summer,DataNest,"₹18,000",Part-time,17-09-2025,"As a AR/VR Intern, you will gain hands-on experience in augmented reality, virtual reality, oculus, haptic feedback, motion tracking. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AR/VR
AR/VR Intern,"virtual reality, augmented reality, spatial computing, mixed reality",4 Months,Converting,GreenWorld,"₹15,000",Full-time,09-09-2025,"As a AR/VR Intern, you will gain hands-on experience in virtual reality, augmented reality, spatial computing, mixed reality. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AR/VR
Architecture Intern,"Structural Analysis, Automation, Thermodynamics",3 Months,Research,MindCare,"₹12,000",Part-time,11-09-2025,"As a Architecture Intern, you will gain hands-on experience in Structural Analysis, Automation, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Architecture
Architecture Intern,"CAD, Structural Analysis, Thermodynamics",2 Months,Summer,QuantumEdge,"₹10,000",Full-time,12-09-2025,"As a Architecture Intern, you will gain hands-on experience in CAD, Structural Analysis, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Architecture
Architecture Intern,"CAD, Structural Analysis, Power Systems",3 Months,Research,InnoWorks,"₹18,000",Full-time,16-09-2025,"As a Architecture Intern, you will gain hands-on experience in CAD, Structural Analysis, Power Systems. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Architecture
Astronomy Intern,"Observational Astronomy, Astrophysics, Astronomical Instrumentation, Data Analysis, Planetary Science",6 Months,Long-term,EduNext,"₹12,000",Full-time,04-10-2025,"As a Astronomy Intern, you will gain hands-on experience in Observational Astronomy, Astrophysics, Astronomical Instrumentation, Data Analysis, Planetary Science. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Astronomy
Astronomy Intern,"Celestial Mechanics, Theoretical Astrophysics, Star Formation, Galaxy Evolution",4 Months,Research,LexiCorp,"₹12,000",Full-time,16-09-2025,"As a Astronomy Intern, you will gain hands-on experience in Celestial Mechanics, Theoretical Astrophysics, Star Formation, Galaxy Evolution. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Astronomy
Astronomy Intern,"Telescopes, Spectroscopy, Astrophotography, Planetary Geology",6 Months,Research,EduNext,"₹10,000",Part-time,04-10-2025,"As a Astronomy Intern, you will gain hands-on experience in Telescopes, Spectroscopy, Astrophotography, Planetary Geology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Astronomy
Astrophysics Intern,"Quantum Algorithms, Entanglement, Superposition",3 Months,Summer,InnoWorks,$1300,Full Time,05-10-2025,"As a Astrophysics Intern, you will research Quantum Algorithms, Entanglement and Superposition, simulating quantum algorithms using Qiskit or Cirq. You’ll work with quantum computing experts to advance cutting-edge technologies.",Quantum
Astrophysics Intern,"Qubits, Quantum Computing, Entanglement",6 Months,Long Term,TechNova,$1600,Part Time,12-09-2025,"As a Astrophysics Intern, you will research Qubits, Quantum Computing and Entanglement, simulating quantum algorithms using Qiskit or Cirq. You’ll work with quantum computing experts to advance cutting-edge technologies.",Quantum
Astrophysics Intern,"Quantum Computing, Qubits, Superposition, Entanglement",4 Months,Semester,DataNest,$1000,Full Time,22-10-2025,"As a Astrophysics Intern, you will research Quantum Computing, Qubits, Superposition and Entanglement, simulating quantum algorithms using Qiskit or Cirq. You’ll work with quantum computing experts to advance cutting-edge technologies.",Quantum
Astrophysics Intern,"Quantum Algorithms, Qubits, Superposition",2 Months,Summer,GreenWorld,$1400,Part Time,15-10-2025,"As a Astrophysics Intern, you will research Quantum Algorithms, Qubits and Superposition, simulating quantum algorithms using Qiskit or Cirq. You’ll work with quantum computing experts to advance cutting-edge technologies.",Quantum
Behavioral Economics Intern,"Market Analysis, Strategy, Operations",2 Months,Summer,TechNova,$1500,Full Time,18-06-2026,"As a Behavioral Economics Intern, you will conduct Market Analysis, Strategy and Operations, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Behavioral Economics Intern,"Strategy, Entrepreneurship",3 Months,Summer,DataNest,$1200,Part Time,08-06-2026,"As a Behavioral Economics Intern, you will conduct Strategy and Entrepreneurship, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Behavioral Economics Intern,"Market Analysis, Operations, Entrepreneurship",6 Months,Long Term,GreenWorld,$1600,Full Time,25-06-2026,"As a Behavioral Economics Intern, you will conduct Market Analysis, Operations and Entrepreneurship, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Bioengineering Intern,"Pathology, Clinical Research, Pharmacology",2 Months,Summer,BuildCon,$1700,Full Time,18-08-2026,"As a Bioengineering Intern, you will engage in Pathology, Clinical Research and Pharmacology, analyzing clinical data or developing diagnostic tools. You’ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Bioengineering Intern,"Diagnostics, Patient Data, Clinical Research",3 Months,Summer,PixelTech,$900,Part Time,08-08-2026,"As a Bioengineering Intern, you will engage in Diagnostics, Patient Data and Clinical Research, analyzing clinical data or developing diagnostic tools. You’ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Bioengineering Intern,"Pathology, Diagnostics, Pharmacology",6 Months,Long Term,MindCare,$1300,Full Time,25-08-2026,"As a Bioengineering Intern, you will engage in Pathology, Diagnostics and Pharmacology, analyzing clinical data or developing diagnostic tools. You’ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Bioinformatics Intern,"Pathology, Diagnostics, Patient Data",6 Months,Long Term,DataNest,$1500,Full Time,10-11-2025,"As a Bioinformatics Intern, you will engage in Pathology, Diagnostics and Patient Data, analyzing clinical data or developing diagnostic tools. You’ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Bioinformatics Intern,"Clinical Research, Pharmacology, Diagnostics",4 Months,Semester,GreenWorld,$1200,Part Time,28-10-2025,"As a Bioinformatics Intern, you will engage in Clinical Research, Pharmacology and Diagnostics, analyzing clinical data or developing diagnostic tools. You’ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Bioinformatics Intern,"Pathology, Clinical Research, Patient Data",2 Months,Summer,BuildCon,$900,Full Time,15-11-2025,"As a Bioinformatics Intern, you will engage in Pathology, Clinical Research and Patient Data, analyzing clinical data or developing diagnostic tools. You’ll collaborate with healthcare professionals to advance medical research or patient care.",Medical
Biomedical Intern,"Cell Research, Genetics, Biotech Applications",3 Months,Research,EcoLabs,"₹15,000",Full-time,01-10-2025,"As a Biomedical Intern, you will gain hands-on experience in Cell Research, Genetics, Biotech Applications. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biomedical
Biomedical Intern,"Biotech Applications, Molecular Biology, Genetics",6 Months,Long-term,SecureX,"₹8,000",Part-time,04-10-2025,"As a Biomedical Intern, you will gain hands-on experience in Biotech Applications, Molecular Biology, Genetics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biomedical
Biomedical Intern,"Biotech Applications, Immunology, Cell Research",4 Months,Summer,DataNest,"₹12,000",Part-time,24-09-2025,"As a Biomedical Intern, you will gain hands-on experience in Biotech Applications, Immunology, Cell Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biomedical
Biotechnology Intern,"Molecular Biology, Genetics, Cell Research",2 Months,Converting,GreenWorld,"₹15,000",Full-time,17-09-2025,"As a Biotechnology Intern, you will gain hands-on experience in Molecular Biology, Genetics, Cell Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biotechnology
Biotechnology Intern,"Genetics, Molecular Biology, Immunology",6 Months,Summer,MindCare,"₹6,000",Part-time,23-09-2025,"As a Biotechnology Intern, you will gain hands-on experience in Genetics, Molecular Biology, Immunology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biotechnology
Biotechnology Intern,"Genetics, Molecular Biology, Cell Research",4 Months,Research,EduNext,"₹20,000",Part-time,17-09-2025,"As a Biotechnology Intern, you will gain hands-on experience in Genetics, Molecular Biology, Cell Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biotechnology
Blockchain Intern,"NFTs, Ethereum, DeFi",2 Months,Long-term,BuildCon,"₹8,000",Full-time,14-09-2025,"As a Blockchain Intern, you will gain hands-on experience in NFTs, Ethereum, DeFi. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Blockchain
Blockchain Intern,"Ethereum, Smart Contracts, NFTs",3 Months,Summer,TechNova,"₹12,000",Part-time,03-10-2025,"As a Blockchain Intern, you will gain hands-on experience in Ethereum, Smart Contracts, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Blockchain
Blockchain Intern,"Ethereum, Consensus Mechanisms, NFTs",3 Months,Long-term,UrbanWorks,"₹15,000",Part-time,14-09-2025,"As a Blockchain Intern, you will gain hands-on experience in Ethereum, Consensus Mechanisms, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Blockchain
Blockchain Intern,"DeFi, Ethereum, NFTs",4 Months,Converting,LexiCorp,"₹6,000",Part-time,09-09-2025,"As a Blockchain Intern, you will gain hands-on experience in DeFi, Ethereum, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Blockchain
Blockchain Strategy Intern,"Smart Contracts, Ethereum, DeFi",6 Months,Long Term,MindCare,$1500,Full Time,10-04-2026,"As a Blockchain Strategy Intern, you will explore Smart Contracts, Ethereum and DeFi, building decentralized applications or smart contracts using Solidity or Hyperledger. You’ll work with blockchain developers to innovate secure solutions.",Blockchain
Blockchain Strategy Intern,"NFTs, Consensus Algorithms, Ethereum",4 Months,Semester,InnoWorks,$1200,Part Time,28-03-2026,"As a Blockchain Strategy Intern, you will explore NFTs, Consensus Algorithms and Ethereum, building decentralized applications or smart contracts using Solidity or Hyperledger. You’ll work with blockchain developers to innovate secure solutions.",Blockchain
Blockchain Strategy Intern,"Smart Contracts, DeFi, Consensus Algorithms",2 Months,Summer,TechNova,$1600,Full Time,15-04-2026,"As a Blockchain Strategy Intern, you will explore Smart Contracts, DeFi and Consensus Algorithms, building decentralized applications or smart contracts using Solidity or Hyperledger. You’ll work with blockchain developers to innovate secure solutions.",Blockchain
Business Analyst Intern,"Predictive Modeling, Big Data, Hadoop",4 Months,Summer,EduNext,"₹12,000",Full-time,14-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Predictive Modeling, Big Data, Hadoop. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst
Business Analyst Intern,"Hadoop, Pandas, Spark",6 Months,Converting,UrbanWorks,"₹6,000",Full-time,06-10-2025,"As a Business Analyst Intern, you will gain hands-on experience in Hadoop, Pandas, Spark. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst
Business Analyst Intern,"Big Data, Python, Machine Learning",4 Months,Long-term,SecureX,"₹20,000",Part-time,11-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Big Data, Python, Machine Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst
Business Analyst Intern,"Big Data, Hadoop, Pandas",3 Months,Long-term,UrbanWorks,"₹10,000",Full-time,09-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Big Data, Hadoop, Pandas. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst
Chemistry Research Intern,"Organic Synthesis, Analytical Chemistry, Spectroscopy, Laboratory Techniques",3 Months,Research,PixelTech,"₹18,000",Full-time,07-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Organic Synthesis, Analytical Chemistry, Spectroscopy, Laboratory Techniques. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research
Chemistry Research Intern,"Biochemistry, Molecular Biology, Drug Discovery, Medicinal Chemistry",3 Months,Converting,InnoWorks,"₹6,000",Part-time,09-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Biochemistry, Molecular Biology, Drug Discovery, Medicinal Chemistry. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research
Chemistry Research Intern,"Physical Chemistry, Thermodynamics, Quantum Chemistry, Materials Science",3 Months,Summer,GreenWorld,"₹18,000",Part-time,09-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Physical Chemistry, Thermodynamics, Quantum Chemistry, Materials Science. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research
Civil Engineering Intern,"Thermodynamics, Structural Analysis, CAD",2 Months,Summer,BuildCon,"₹6,000",Full-time,05-10-2025,"As a Civil Engineering Intern, you will gain hands-on experience in Thermodynamics, Structural Analysis, CAD. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Civil Engineering
Civil Engineering Intern,"Power Systems, CAD, Thermodynamics",6 Months,Summer,MindCare,"₹6,000",Part-time,22-09-2025,"As a Civil Engineering Intern, you will gain hands-on experience in Power Systems, CAD, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Civil Engineering
Civil Engineering Intern,"Automation, Power Systems, Structural Analysis",6 Months,Summer,GreenWorld,"₹20,000",Part-time,28-09-2025,"As a Civil Engineering Intern, you will gain hands-on experience in Automation, Power Systems, Structural Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Civil Engineering
CleanTech Intern,"Sustainable Development, Renewable Energy, Environmental Engineering, Carbon Footprint Analysis",2 Months,Converting,LexiCorp,"₹10,000",Part-time,07-09-2025,"As a CleanTech Intern, you will gain hands-on experience in Sustainable Development, Renewable Energy, Environmental Engineering, Carbon Footprint Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",CleanTech
CleanTech Intern,"Solar Power, Wind Energy, Geothermal Systems, Energy Storage",2 Months,Converting,EcoLabs,"₹10,000",Part-time,30-09-2025,"As a CleanTech Intern, you will gain hands-on experience in Solar Power, Wind Energy, Geothermal Systems, Energy Storage. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",CleanTech
CleanTech Intern,"Waste Management, Water Purification, Green Building Design",4 Months,Summer,PixelTech,"₹18,000",Part-time,06-10-2025,"As a CleanTech Intern, you will gain hands-on experience in Waste Management, Water Purification, Green Building Design   . You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",CleanTech
Climate Adaptation Intern,"Climate Change, Biodiversity, Environmental Impact",3 Months,Summer,TechNova,$1200,Part Time,05-08-2026,"As a Climate Adaptation Intern, you will work on Climate Change, Biodiversity and Environmental Impact, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Climate Adaptation Intern,"Conservation, GIS, Environmental Impact",6 Months,Long Term,DataNest,$1600,Full Time,22-07-2026,"As a Climate Adaptation Intern, you will work on Conservation, GIS and Environmental Impact, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Climate Adaptation Intern,"Climate Change, Conservation, GIS",4 Months,Semester,GreenWorld,$1100,Part Time,12-08-2026,"As a Climate Adaptation Intern, you will work on Climate Change, Conservation and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Climate Policy Intern,"Climate Change, Conservation, GIS",4 Months,Semester,TechNova,$1200,Full Time,15-09-2025,"As a Climate Policy Intern, you will work on Climate Change, Conservation and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Climate Policy Intern,"Biodiversity, Environmental Impact, GIS",3 Months,Summer,DataNest,$800,Part Time,02-10-2025,"As a Climate Policy Intern, you will work on Biodiversity, Environmental Impact and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
