Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role
Sociology Intern,"Surveys, Field Research, Urban Studies",3 Months,Converting,PeopleMuch,"$10,000",Hybrid,09-09-2025,"As a Sociology Intern, you will gain hands-on experience in Surveys, Field Research, Urban Studies. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sociology
Sociology Intern,"Surveys, Cultural Studies, Social Behavior",6 Months,Long Term,PeopleMuch,"$18,000",Hybrid,09-09-2025,"As a Sociology Intern, you will gain hands-on experience in Surveys, Cultural Studies, Social Behavior. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sociology
Economics Intern,"Investment Analysis, Stock Research, Portfolio Management",4 Months,Converting,TechNova,"$12,000",Hybrid,09-09-2025,"As a Economics Intern, you will gain hands-on experience in Investment Analysis, Stock Research, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics
Game Development Intern,"Video Editing, Animation, Photography",2 Months,Research,TechNova,"$8,000",Hybrid,09-09-2025,"As a Game Development Intern, you will gain hands-on experience in Video Editing, Animation, Photography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Development
Business Analyst Intern,"Big Data, Hadoop, Pandas",3 Months,Long Term,Thinkers,"$10,000",Hybrid,09-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Big Data, Hadoop, Pandas. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst
Chemistry Research Intern,"Biochemistry, Molecular Biology, Drug Discovery, Medicinal Chemistry",3 Months,Converting,Agon Systems,"$6,000",Part Time,09-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Biochemistry, Molecular Biology, Drug Discovery, Medicinal Chemistry. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research
Eco-Audio Intern,"Environmental Soundscapes, Acoustic Ecology",4 Months,Summer,EcoSound,$9500,Part Time,09-09-2025,"As an Eco-Audio Intern, you will gain hands-on experience in Environmental Soundscapes, Acoustic Ecology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Eco-Audio
Library Intern,"Pedagogy, STEM Education, Digital Content",4 Months,Summer,HushPlace,"$18,000",Part Time,09-09-2025,"As a Library Intern, you will gain hands-on experience in Pedagogy, STEM Education, Digital Content. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Library
Cloud Engineering Intern,"Google Cloud, Azure, AWS",3 Months,Summer,Hydra Holdings,"$10,000",Part Time,09-09-2025,"As a Cloud Engineering Intern, you will gain hands-on experience in Google Cloud, Azure, AWS. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Engineering
Legal Intern,"IP Law, Corporate Law, Contract Drafting",3 Months,Research,Lawsfarm,"$6,000",Part Time,09-09-2025,"As a Legal Intern, you will gain hands-on experience in IP Law, Corporate Law, Contract Drafting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Legal
Blockchain Intern,"DeFi, Ethereum, NFTs",4 Months,Converting,LexiCorp,"$6,000",Part Time,09-09-2025,"As a Blockchain Intern, you will gain hands-on experience in DeFi, Ethereum, NFTs. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Blockchain
Economics Intern,"Valuation, Financial Modeling, Portfolio Management",2 Months,Converting,OpenAI Labs,"$18,000",Part Time,09-09-2025,"As a Economics Intern, you will gain hands-on experience in Valuation, Financial Modeling, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics
Chemistry Research Intern,"Physical Chemistry, Thermodynamics, Quantum Chemistry, Materials Science",3 Months,Summer,Orion's Forge,"$18,000",Part Time,09-09-2025,"As a Chemistry Research Intern, you will gain hands-on experience in Physical Chemistry, Thermodynamics, Quantum Chemistry, Materials Science. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Chemistry Research
Tourism Intern,"Curation, Performing Arts, Art History",3 Months,Research,Palladium Partners,"$18,000",Part Time,09-09-2025,"As a Tourism Intern, you will gain hands-on experience in Curation, Performing Arts, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism
Fashion Styling Intern,"Lookbook Creation, Trend Forecasting",2 Months,Summer,StyleVibe,$9000,Part Time,09-09-2025,"As a Fashion Styling Intern, you will gain hands-on experience in Lookbook Creation, Trend Forecasting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Fashion Styling
Forensic Science Intern,"Crime Scene Investigation, DNA Analysis, Ballistics, Fingerprinting",2 Months,Summer,Terra Transmissions,"$18,000",Part Time,09-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Crime Scene Investigation, DNA Analysis, Ballistics, Fingerprinting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science
Tourism Intern,"Event Management, Performing Arts, Curation",2 Months,Research,The Saffron Scroll,"$10,000",Part Time,09-09-2025,"As a Tourism Intern, you will gain hands-on experience in Event Management, Performing Arts, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism
Video Editing Intern,"Graphic Design, Photography, Storyboarding",3 Months,Long Term,digiGlow,"$20,000",Hybrid,10-09-2025,"As a Video Editing Intern, you will gain hands-on experience in Graphic Design, Photography, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Video Editing
Tourism Intern,"Performing Arts, Curation, Art History",2 Months,Converting,Eclipse Enterprises,"$8,000",Hybrid,10-09-2025,"As a Tourism Intern, you will gain hands-on experience in Performing Arts, Curation, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism
Cloud Security Intern,"Cloud Security, Incident Response, Cryptography",6 Months,Long Term,EcoLabs,"$20,000",Hybrid,10-09-2025,"As a Cloud Security Intern, you will gain hands-on experience in Cloud Security, Incident Response, Cryptography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Security
Anthropology Intern,"Field Research, Social Behavior, Surveys",6 Months,Summer,Tempest Collective,"$20,000",Hybrid,10-09-2025,"As a Anthropology Intern, you will gain hands-on experience in Field Research, Social Behavior, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Anthropology
Tourism Intern,"Creative Writing, Art History, Curation",4 Months,Summer,Trident Trading,"$12,000",Hybrid,10-09-2025,"As a Tourism Intern, you will gain hands-on experience in Creative Writing, Art History, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Tourism
Supply Chain Intern,"Demand Forecasting, Procurement, Supplier Management",2 Months,Research,UrbanWorks,"$6,000",Hybrid,10-09-2025,"As a Supply Chain Intern, you will gain hands-on experience in Demand Forecasting, Procurement, Supplier Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Supply Chain
EdTech Intern,"E-learning, Digital Content, STEM Education",4 Months,Long Term,Comet Communications,"$18,000",Part Time,10-09-2025,"As a EdTech Intern, you will gain hands-on experience in E-learning, Digital Content, STEM Education. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech
International Relations Intern,"Surveys, Field Research, Social Behavior",3 Months,Long Term,Echo Chamber,"$15,000",Part Time,10-09-2025,"As a International Relations Intern, you will gain hands-on experience in Surveys, Field Research, Social Behavior. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",International Relations
Environmental Science Intern,"Teamwork, Project Planning, Problem Solving",3 Months,Converting,mcroloft env,"$20,000",Part Time,10-09-2025,"As a Environmental Science Intern, you will gain hands-on experience in Teamwork, Project Planning, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science
AI Ethics Intern,"Deep Learning, Computer Vision, Transformers",6 Months,Long Term,Whisperwind Industries,"$18,000",Part Time,10-09-2025,"As a AI Ethics Intern, you will gain hands-on experience in Deep Learning, Computer Vision, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Ethics
Public Relations Intern,"Content Strategy, Social Media, SEO",2 Months,Long Term,Apex Aerospace,"$18,000",Hybrid,11-09-2025,"As a Public Relations Intern, you will gain hands-on experience in Content Strategy, Social Media, SEO. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Public Relations
Supply Chain Intern,"Logistics, Inventory Management, Transportation Planning, Warehousing",6 Months,Research,Asteroid Group,"$15,000",Hybrid,11-09-2025,"As a Supply Chain Intern, you will gain hands-on experience in Logistics, Inventory Management, Transportation Planning, Warehousing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Supply Chain
Linguistics Intern,"STEM Education, Instructional Design, E-learning",4 Months,Long Term,Kismet Kollective,"$6,000",Hybrid,11-09-2025,"As a Linguistics Intern, you will gain hands-on experience in STEM Education, Instructional Design, E-learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Linguistics
Mechanical Engineering Intern,"Power Systems, Structural Analysis, Thermodynamics",4 Months,Long Term,Makeshift,"$8,000",Hybrid,11-09-2025,"As a Mechanical Engineering Intern, you will gain hands-on experience in Power Systems, Structural Analysis, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Mechanical Engineering
Psychology Intern,"Counseling, Behavioral Studies, Neuropsychology",3 Months,Converting,Midas Media,"$6,000",Hybrid,11-09-2025,"As a Psychology Intern, you will gain hands-on experience in Counseling, Behavioral Studies, Neuropsychology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Psychology
SEO Intern,"Market Research, SEO, Content Strategy",2 Months,Converting,Nemesis Group,"$6,000",Hybrid,11-09-2025,"As a SEO Intern, you will gain hands-on experience in Market Research, SEO, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",SEO
Data Science Intern,"Generative AI, NLP, Computer Vision",6 Months,Summer,Pioneer Ventures,"$18,000",Hybrid,11-09-2025,"As a Data Science Intern, you will gain hands-on experience in Generative AI, NLP, Computer Vision. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science
Social Work Intern,"Field Research, Social Behavior, Urban Studies",3 Months,Converting,Proteus Productions,"$18,000",Hybrid,11-09-2025,"As a Social Work Intern, you will gain hands-on experience in Field Research, Social Behavior, Urban Studies. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Social Work
Philosophy Intern,"Political Philosophy, Logic, Metaphysics",6 Months,Long Term,Verdant Veins,"$10,000",Hybrid,11-09-2025,"As a Philosophy Intern, you will gain hands-on experience in Political Philosophy, Logic, Metaphysics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Philosophy
UI/UX Design Intern,"User Research, Wireframing, Usability Testing",4 Months,Research,Veridian Systems,"$20,000",Hybrid,11-09-2025,"As a UI/UX Design Intern, you will gain hands-on experience in User Research, Wireframing, Usability Testing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",UI/UX Design
Public Relations Intern,"Social Media, Brand Management, Content Strategy",3 Months,Summer,Blackhole Ventures,"$15,000",Part Time,11-09-2025,"As a Public Relations Intern, you will gain hands-on experience in Social Media, Brand Management, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Public Relations
EdTech Intern,"Digital Content, Pedagogy, Instructional Design",2 Months,Long Term,Luminar Logic,"$10,000",Part Time,11-09-2025,"As a EdTech Intern, you will gain hands-on experience in Digital Content, Pedagogy, Instructional Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech
Business Analyst Intern,"Big Data, Python, Machine Learning",4 Months,Long Term,SecureX,"$20,000",Part Time,11-09-2025,"As a Business Analyst Intern, you will gain hands-on experience in Big Data, Python, Machine Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Business Analyst
Architecture Intern,"Structural Analysis, Automation, Thermodynamics",3 Months,Research,The Sunken Spire,"$12,000",Part Time,11-09-2025,"As a Architecture Intern, you will gain hands-on experience in Structural Analysis, Automation, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Architecture
Social Work Intern,"Urban Studies, Social Behavior, Surveys",6 Months,Long Term,Titan Technologies,"$20,000",Part Time,11-09-2025,"As a Social Work Intern, you will gain hands-on experience in Urban Studies, Social Behavior, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Social Work
Architecture Intern,"CAD, Structural Analysis, Thermodynamics",2 Months,Summer,Cosmos Collective,"$10,000",Hybrid,12-09-2025,"As a Architecture Intern, you will gain hands-on experience in CAD, Structural Analysis, Thermodynamics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Architecture
Smart Packaging Intern,"Active Packaging, Shelf-Life Monitoring",5 Months,Semester,PackSmart,$1300,Hybrid,12-09-2025,"As a Smart Packaging Intern, you will gain hands-on experience in Active Packaging, Shelf-Life Monitoring. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Smart Packaging
Data Science Intern,"Transformers, Reinforcement Learning, NLP",2 Months,Long Term,Pulsar Partners,"$15,000",Hybrid,12-09-2025,"As a Data Science Intern, you will gain hands-on experience in Transformers, Reinforcement Learning, NLP. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science
Renewable Energy Intern,"Teamwork, Leadership, Problem Solving",6 Months,Summer,Silverstream Solutions,"$15,000",Hybrid,12-09-2025,"As a Renewable Energy Intern, you will gain hands-on experience in Teamwork, Leadership, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Renewable Energy
Web Development Intern," CSS, JavaScript, Express",3 Months,Long Term,The Amber Owl,"$15,000",Hybrid,12-09-2025,"As a Web Development Intern, you will gain hands-on experience in  CSS, JavaScript, Express. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Web Development
Data Visualization Intern,"Transformers, Generative AI, Reinforcement Learning",6 Months,Summer,Zenith Technologies,"$8,000",Hybrid,12-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in Transformers, Generative AI, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization
Physics Research Intern,"Teamwork, Communication, Problem Solving",4 Months,Long Term,Hestia Holdings,"$12,000",Part Time,12-09-2025,"As a Physics Research Intern, you will gain hands-on experience in Teamwork, Communication, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Physics Research
Astrophysics Intern,"Qubits, Quantum Computing, Entanglement",6 Months,Long Term,Interstellar Innovations,$1600,Part Time,12-09-2025,"As a Astrophysics Intern, you will research Qubits, Quantum Computing and Entanglement, simulating quantum algorithms using Qiskit or Cirq. Youâ€™ll work with quantum computing experts to advance cutting-edge technologies.",Quantum
Mechanical Engineering Intern,"Power Systems, Automation, Structural Analysis",3 Months,Summer,Starfall Solutions,"$12,000",Part Time,12-09-2025,"As a Mechanical Engineering Intern, you will gain hands-on experience in Power Systems, Automation, Structural Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Mechanical Engineering
Product Management Intern,"Python, Big Data, Predictive Modeling",3 Months,Research,The Clockwork Harbor,"$10,000",Part Time,12-09-2025,"As a Product Management Intern, you will gain hands-on experience in Python, Big Data, Predictive Modeling. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Product Management
Electrical Engineering Intern,"Automation, CAD, Structural Analysis",4 Months,Long Term,Voyager Works,"$6,000",Part Time,12-09-2025,"As a Electrical Engineering Intern, you will gain hands-on experience in Automation, CAD, Structural Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Electrical Engineering
Digital Marketing Intern,"Content Strategy, Social Media, Market Research",3 Months,Summer,Wyvern Collective,"$12,000",Part Time,12-09-2025,"As a Digital Marketing Intern, you will gain hands-on experience in Content Strategy, Social Media, Market Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing
Esports Intern,"Communication, Problem Solving, Leadership",6 Months,Summer,Chthonic Ventures,"$15,000",Hybrid,13-09-2025,"As a Esports Intern, you will gain hands-on experience in Communication, Problem Solving, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports
Animation Intern,"Photography, Graphic Design, Storyboarding",6 Months,Research,GreenWorld,"$18,000",Hybrid,13-09-2025,"As a Animation Intern, you will gain hands-on experience in Photography, Graphic Design, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Animation
Photography Intern,"Photography, Graphic Design, Storyboarding",3 Months,Summer,Hermes Hub,"$20,000",Hybrid,13-09-2025,"As a Photography Intern, you will gain hands-on experience in Photography, Graphic Design, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Photography
Accounting Intern,"Stock Research, Financial Modeling, Investment Analysis",2 Months,Converting,LexiCorp,"$8,000",Hybrid,13-09-2025,"As a Accounting Intern, you will gain hands-on experience in Stock Research, Financial Modeling, Investment Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Accounting
Veterinary Intern,"Clinical Research, Pharmacology, Anatomy",3 Months,Converting,Phobos Foundry,"$18,000",Hybrid,13-09-2025,"As a Veterinary Intern, you will gain hands-on experience in Clinical Research, Pharmacology, Anatomy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Veterinary
